session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_064296,user_04204,movie_0600,11/7/25,Mobile,78.1,41.3,paused,4K,Canada,False,,james22@example.net,Teresa,Jackson,12.0,Male,USA,North Carolina,Walshborough,Premium,2023-08-09,True,10.41,Desktop,,2025-07-18 06:04:40.456583,Big Adventure,TV Series,History,Fantasy,1992,40.0,TV-Y,Korean,South Korea,,,,14.0,173.0,False,2022-12-08,False
session_016935,user_05886,movie_0501,5/26/25,Desktop,82.1,,completed,HD,Canada,False,1.0,holdervalerie@example.net,Julie,Henderson,52.0,Female,Canada,British Columbia,Port Lindseyview,Basic,2023-08-05,False,,Desktop,2.0,2023-09-20 08:50:59.313548,Hero Dragon,Movie,Comedy,War,1995,100.0,TV-Y,English,USA,9.0,16854758.0,2474372.0,,,True,2022-09-13,True
session_086729,user_09892,movie_0369,6/18/24,Smart TV,172.9,50.1,paused,4K,Canada,False,,ynichols@example.net,Scott,Cox,38.0,Female,USA,Missouri,Brooksmouth,Standard,2023-09-24,False,,Laptop,1.0,2023-03-22 18:03:41.436127,Big Ice,Documentary,Family,Adventure,2008,58.0,TV-Y,Hindi,Japan,5.9,,,,,False,2023-05-08,False
session_013845,user_08497,movie_0425,9/3/24,Laptop,22.2,70.7,completed,HD,Canada,True,,jlopez@example.com,Phyllis,Mayer,37.0,,Canada,Alberta,Porterborough,Premium+,2025-05-20,True,14.83,Laptop,3.0,2023-12-29 18:39:25.034920,Storm Kingdom,TV Series,Adventure,,1994,53.0,NC-17,English,USA,,,,8.0,134.0,False,2023-01-09,False
session_007534,user_00770,movie_0759,1/17/24,Laptop,53.4,1.0,paused,HD,USA,False,,robertsmith@example.com,Matthew,Sutton,32.0,Male,Canada,British Columbia,New Davidport,Premium+,2024-10-04,True,25.01,Gaming Console,2.0,2023-09-12 00:18:48.884655,Legend King,Documentary,Action,Sci-Fi,2012,75.0,PG-13,Spanish,South Korea,8.1,,,,,False,2025-02-10,False
session_009109,user_04017,movie_0500,2/28/25,Desktop,68.2,24.9,stopped,4K,Canada,False,,michaelarmstrong@example.net,Amanda,Smith,44.0,Female,USA,Wisconsin,North Melissaland,Standard,2023-08-15,True,,Desktop,3.0,2023-08-25 18:58:21.871996,My Journey,TV Series,Music,,1990,33.0,TV-PG,English,USA,3.9,,,13.0,199.0,True,2025-06-10,False
session_076385,user_00990,movie_0716,10/14/24,Tablet,,47.1,stopped,SD,USA,False,3.0,jennifer82@example.com,Mark,Ibarra,15.0,Female,Canada,Quebec,Port Samanthaville,Premium,2024-09-23,True,10.31,Gaming Console,5.0,2023-11-28 18:44:17.081290,Love Battle,Stand-up Comedy,War,,2022,91.0,R,English,Germany,4.4,,,,,False,2020-10-15,True
session_060816,user_01130,movie_0508,2/28/25,Desktop,27.1,55.6,paused,Ultra HD,USA,False,,whitecharles@example.net,Jessica,Wilkins,41.0,Male,Canada,Nova Scotia,Lake Charlene,Standard,2025-04-12,False,1.65,Laptop,4.0,2022-08-18 20:04:35.141170,Last Hero,Movie,Adventure,Crime,1956,123.0,PG,English,Canada,8.1,1074818.0,32843910.0,,,False,2023-10-13,False
session_084235,user_09404,movie_0384,7/12/24,Smart TV,23.7,74.3,stopped,HD,USA,False,4.0,ronaldhuff@example.org,Kelly,Pineda,65.0,Male,Canada,Prince Edward Island,New Ashley,Standard,2024-02-10,False,10.87,Tablet,6.0,2025-07-22 12:19:38.094509,Night Adventure,Stand-up Comedy,Music,Thriller,2013,42.0,G,English,USA,8.8,,,,,True,2022-02-27,False
session_092302,user_08899,movie_0015,5/13/24,Smart TV,,6.5,completed,4K,USA,False,,urobinson@example.net,Sheri,Baker,,Female,Canada,Quebec,East Janice,Premium,2022-11-01,True,8.24,Desktop,3.0,2022-10-29 08:57:51.776865,Hero Empire,Movie,Sci-Fi,Mystery,2012,108.0,TV-G,English,UK,,2006408.0,,,,False,2022-09-18,False
session_035186,user_05810,movie_0190,2/22/25,Mobile,81.3,19.4,stopped,HD,Canada,False,3.0,paul20@example.com,Michael,Baker,,Male,USA,Georgia,Patelstad,Standard,2024-12-21,False,,Smart TV,3.0,2022-08-25 16:12:00.461112,Princess Night,Documentary,Fantasy,,2010,94.0,TV-MA,English,USA,6.0,,,,,True,2020-11-19,True
session_072928,user_04624,movie_0466,7/3/24,Smart TV,,60.6,started,HD,USA,False,,floresamanda@example.net,Lisa,Johnson,49.0,Male,USA,Ohio,Lake Wayne,Standard,2023-03-09,True,8.34,Smart TV,1.0,2025-05-17 01:31:35.252365,Ice Secret,Movie,Horror,,2011,132.0,G,English,USA,5.5,6517048.0,,,,False,2021-06-26,False
session_075053,user_07174,movie_0666,3/17/25,Tablet,,76.1,completed,HD,USA,False,,annette73@example.com,Ronald,White,38.0,Female,USA,California,Wilsontown,Premium+,2023-02-22,True,2.62,Smart TV,2.0,2025-02-22 00:40:32.753331,Day City,Documentary,Adventure,,2014,110.0,R,English,India,9.6,,,,,False,2025-04-06,False
session_077976,user_07372,movie_0775,4/4/25,Tablet,50.2,,paused,SD,Canada,False,,kevin62@example.org,Ian,Adams,27.0,Female,Canada,British Columbia,Brendaport,Basic,2024-10-03,True,,Desktop,2.0,2023-07-05 18:28:49.372749,An Empire,Movie,Biography,,2002,137.0,TV-Y7,English,South Korea,,,289539.0,,,False,2025-04-13,False
session_099359,user_09063,movie_0604,7/15/24,Tablet,358.9,6.3,completed,4K,USA,False,4.0,brucegonzalez@example.net,Nicholas,Garza,94.0,Female,USA,Tennessee,Michaelburgh,Premium,2024-12-04,True,2.34,Gaming Console,2.0,2023-10-07 12:07:24.628801,Empire War,TV Series,Western,,2019,42.0,TV-MA,English,USA,5.4,,,14.0,112.0,False,2021-08-22,True
session_044198,user_08436,movie_0802,8/25/25,Laptop,78.6,19.2,stopped,HD,USA,False,,ygallegos@example.com,Ryan,Cuevas,19.0,Female,USA,Tennessee,New Gregoryport,Standard,2024-11-10,True,13.02,Desktop,2.0,2023-09-15 16:54:07.174325,Day Dragon,TV Series,Adventure,,2006,45.0,G,French,South Korea,6.2,,,2.0,174.0,False,2021-03-13,False
session_083025,user_01304,movie_0456,2/13/24,Laptop,220.8,32.7,stopped,HD,USA,False,,gregoryscott@example.com,Casey,Fitzpatrick,22.0,Prefer not to say,USA,California,Port Melanie,Premium+,2023-03-10,True,6.83,Gaming Console,3.0,2025-04-28 12:44:21.113697,Ice Legend,Movie,War,,1979,104.0,PG-13,Hindi,USA,,,96016345.0,,,False,2025-07-18,False
session_065080,user_08426,movie_0870,10/28/25,Mobile,178.8,82.6,completed,HD,Canada,True,,ladams@example.net,Lisa,Terry,41.0,Male,USA,Missouri,Middletonville,Premium,2024-12-01,True,21.28,Laptop,1.0,2023-06-21 19:04:49.645275,Little Phoenix,Documentary,Music,Romance,2022,100.0,TV-PG,English,France,,,,,,True,2021-03-14,False
